Code;impact_code;Impacts ;Type of impact;type_s;Drivers;driver_s;Area_NS;Risk;Consequences;Exposure;Fishery;Mediterranean area;Area
867;3;Species bathymetric distribution;Fisheries resources;FR;Increase in SST;SST;North;1;1;1;Pelagic;Eastern;Eastern (North)
868;4;Trends in abundance/biomass;Fisheries resources;FR;Increase in SST;SST;North;16;4;4;Pelagic;Eastern;Eastern (North)
869;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Increase in SST;SST;North;12;3;4;Pelagic;Eastern;Eastern (North)
870;6;Species phenology;Fisheries resources;FR;Increase in SST;SST;North;9;3;3;Pelagic;Eastern;Eastern (North)
871;7;Trophic structure;Fisheries resources;FR;Increase in SST;SST;North;4;2;2;Pelagic;Eastern;Eastern (North)
872;8;Life history traits (growth, reproduction);Fisheries resources;FR;Increase in SST;SST;North;8;2;4;Pelagic;Eastern;Eastern (North)
873;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Increase in SST;SST;North;4;2;2;Pelagic;Eastern;Eastern (North)
874;10;Presence of non-native species;Fisheries resources;FR;Increase in SST;SST;North;16;4;4;Pelagic;Eastern;Eastern (North)
875;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Increase in SST;SST;North;1;1;1;Pelagic;Eastern;Eastern (North)
876;12;Cost of post-harvesting (preservation);Fishing operations;FO;Increase in SST;SST;North;1;1;1;Pelagic;Eastern;Eastern (North)
877;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Increase in SST;SST;North;1;1;1;Pelagic;Eastern;Eastern (North)
878;14;Efficiency of gears;Fishing operations;FO;Increase in SST;SST;North;1;1;1;Pelagic;Eastern;Eastern (North)
879;15;Fishing trips/days at sea;Fishing operations;FO;Increase in SST;SST;North;6;2;3;Pelagic;Eastern;Eastern (North)
880;16;Landing value;Communities and livelihoods;CL;Increase in SST;SST;North;16;4;4;Pelagic;Eastern;Eastern (North)
881;17;Employment rate female;Communities and livelihoods;CL;Increase in SST;SST;North;4;2;2;Pelagic;Eastern;Eastern (North)
882;18;Employment rate male;Communities and livelihoods;CL;Increase in SST;SST;North;9;3;3;Pelagic;Eastern;Eastern (North)
883;19;Contribution of fish products to food security;Communities and livelihoods;CL;Increase in SST;SST;North;4;2;2;Pelagic;Eastern;Eastern (North)
884;20;Safety of (coastal) communities;Communities and livelihoods;CL;Increase in SST;SST;North;1;1;1;Pelagic;Eastern;Eastern (North)
885;21;Cultural and heritage;Communities and livelihoods;CL;Increase in SST;SST;North;9;3;3;Pelagic;Eastern;Eastern (North)
886;22;Market opportunities (non-native species);Communities and livelihoods;CL;Increase in SST;SST;North;12;3;4;Pelagic;Eastern;Eastern (North)
887;23;Health issues;Wider society and economy implications;WS;Increase in SST;SST;North;1;1;1;Pelagic;Eastern;Eastern (North)
888;24;Food security;Wider society and economy implications;WS;Increase in SST;SST;North;1;1;1;Pelagic;Eastern;Eastern (North)
889;25;Recreational fisheries;Wider society and economy implications;WS;Increase in SST;SST;North;1;1;1;Pelagic;Eastern;Eastern (North)
890;26;National income;Wider society and economy implications;WS;Increase in SST;SST;North;1;1;1;Pelagic;Eastern;Eastern (North)
891;27;Tourism activities;Wider society and economy implications;WS;Increase in SST;SST;North;1;1;1;Pelagic;Eastern;Eastern (North)
892;1;Catches composition;Fisheries resources;FR;Increase in SST;SST;South;12;4;3;Pelagic;Eastern;Eastern (South)
893;2;Species geographic distribution;Fisheries resources;FR;Increase in SST;SST;South;12;4;3;Pelagic;Eastern;Eastern (South)
894;3;Species bathymetric distribution;Fisheries resources;FR;Increase in SST;SST;South;8;4;2;Pelagic;Eastern;Eastern (South)
895;4;Trends in abundance/biomass;Fisheries resources;FR;Increase in SST;SST;South;16;4;4;Pelagic;Eastern;Eastern (South)
896;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Increase in SST;SST;South;16;4;4;Pelagic;Eastern;Eastern (South)
897;6;Species phenology;Fisheries resources;FR;Increase in SST;SST;South;6;3;2;Pelagic;Eastern;Eastern (South)
898;7;Trophic structure;Fisheries resources;FR;Increase in SST;SST;South;12;4;3;Pelagic;Eastern;Eastern (South)
899;8;Life history traits (growth, reproduction);Fisheries resources;FR;Increase in SST;SST;South;16;4;4;Pelagic;Eastern;Eastern (South)
900;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Increase in SST;SST;South;9;3;3;Pelagic;Eastern;Eastern (South)
901;10;Presence of non-native species;Fisheries resources;FR;Increase in SST;SST;South;16;4;4;Pelagic;Eastern;Eastern (South)
902;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Increase in SST;SST;South;4;2;2;Pelagic;Eastern;Eastern (South)
903;12;Cost of post-harvesting (preservation);Fishing operations;FO;Increase in SST;SST;South;2;2;1;Pelagic;Eastern;Eastern (South)
904;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Increase in SST;SST;South;6;3;2;Pelagic;Eastern;Eastern (South)
905;14;Efficiency of gears;Fishing operations;FO;Increase in SST;SST;South;8;2;4;Pelagic;Eastern;Eastern (South)
906;15;Fishing trips/days at sea;Fishing operations;FO;Increase in SST;SST;South;6;2;3;Pelagic;Eastern;Eastern (South)
907;16;Landing value;Communities and livelihoods;CL;Increase in SST;SST;South;12;3;4;Pelagic;Eastern;Eastern (South)
908;17;Employment rate female;Communities and livelihoods;CL;Increase in SST;SST;South;2;1;2;Pelagic;Eastern;Eastern (South)
909;18;Employment rate male;Communities and livelihoods;CL;Increase in SST;SST;South;9;3;3;Pelagic;Eastern;Eastern (South)
910;19;Contribution of fish products to food security;Communities and livelihoods;CL;Increase in SST;SST;South;9;3;3;Pelagic;Eastern;Eastern (South)
911;20;Safety of (coastal) communities;Communities and livelihoods;CL;Increase in SST;SST;South;4;2;2;Pelagic;Eastern;Eastern (South)
912;21;Cultural and heritage;Communities and livelihoods;CL;Increase in SST;SST;South;6;2;3;Pelagic;Eastern;Eastern (South)
913;22;Market opportunities (non-native species);Communities and livelihoods;CL;Increase in SST;SST;South;12;3;4;Pelagic;Eastern;Eastern (South)
914;23;Health issues;Wider society and economy implications;WS;Increase in SST;SST;South;2;1;2;Pelagic;Eastern;Eastern (South)
915;24;Food security;Wider society and economy implications;WS;Increase in SST;SST;South;8;4;2;Pelagic;Eastern;Eastern (South)
916;25;Recreational fisheries;Wider society and economy implications;WS;Increase in SST;SST;South;9;3;3;Pelagic;Eastern;Eastern (South)
917;26;National income;Wider society and economy implications;WS;Increase in SST;SST;South;8;3;2;Pelagic;Eastern;Eastern (South)
918;27;Tourism activities;Wider society and economy implications;WS;Increase in SST;SST;South;4;2;2;Pelagic;Eastern;Eastern (South)
919;1;Catches composition;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
920;2;Species geographic distribution;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
921;3;Species bathymetric distribution;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
922;4;Trends in abundance/biomass;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
923;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
924;6;Species phenology;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
925;7;Trophic structure;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
926;8;Life history traits (growth, reproduction);Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
927;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
928;10;Presence of non-native species;Fisheries resources;FR;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
929;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
930;12;Cost of post-harvesting (preservation);Fishing operations;FO;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
931;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
932;14;Efficiency of gears;Fishing operations;FO;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
933;15;Fishing trips/days at sea;Fishing operations;FO;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
934;16;Landing value;Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
935;17;Employment rate female;Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
936;18;Employment rate male;Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
937;19;Contribution of fish products to food security;Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
938;20;Safety of (coastal) communities;Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
939;21;Cultural and heritage;Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
940;22;Market opportunities (non-native species);Communities and livelihoods;CL;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
941;23;Health issues;Wider society and economy implications;WS;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
942;24;Food security;Wider society and economy implications;WS;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
943;25;Recreational fisheries;Wider society and economy implications;WS;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
944;26;National income;Wider society and economy implications;WS;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
945;27;Tourism activities;Wider society and economy implications;WS;Increase in salinity;Sal;North;1;1;1;Pelagic;Eastern;Eastern (North)
946;1;Catches composition;Fisheries resources;FR;Increase in salinity;Sal;South;8;2;4;Pelagic;Eastern;Eastern (South)
947;2;Species geographic distribution;Fisheries resources;FR;Increase in salinity;Sal;South;8;2;4;Pelagic;Eastern;Eastern (South)
948;3;Species bathymetric distribution;Fisheries resources;FR;Increase in salinity;Sal;South;6;2;3;Pelagic;Eastern;Eastern (South)
949;4;Trends in abundance/biomass;Fisheries resources;FR;Increase in salinity;Sal;South;8;2;4;Pelagic;Eastern;Eastern (South)
950;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Increase in salinity;Sal;South;9;3;3;Pelagic;Eastern;Eastern (South)
951;6;Species phenology;Fisheries resources;FR;Increase in salinity;Sal;South;4;2;2;Pelagic;Eastern;Eastern (South)
952;7;Trophic structure;Fisheries resources;FR;Increase in salinity;Sal;South;8;4;2;Pelagic;Eastern;Eastern (South)
953;8;Life history traits (growth, reproduction);Fisheries resources;FR;Increase in salinity;Sal;South;6;3;2;Pelagic;Eastern;Eastern (South)
954;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Increase in salinity;Sal;South;4;2;2;Pelagic;Eastern;Eastern (South)
955;10;Presence of non-native species;Fisheries resources;FR;Increase in salinity;Sal;South;8;2;4;Pelagic;Eastern;Eastern (South)
956;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Increase in salinity;Sal;South;1;1;1;Pelagic;Eastern;Eastern (South)
957;12;Cost of post-harvesting (preservation);Fishing operations;FO;Increase in salinity;Sal;South;1;1;1;Pelagic;Eastern;Eastern (South)
958;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Increase in salinity;Sal;South;4;1;1;Pelagic;Eastern;Eastern (South)
959;14;Efficiency of gears;Fishing operations;FO;Increase in salinity;Sal;South;4;2;2;Pelagic;Eastern;Eastern (South)
960;15;Fishing trips/days at sea;Fishing operations;FO;Increase in salinity;Sal;South;4;2;2;Pelagic;Eastern;Eastern (South)
961;16;Landing value;Communities and livelihoods;CL;Increase in salinity;Sal;South;6;2;3;Pelagic;Eastern;Eastern (South)
962;17;Employment rate female;Communities and livelihoods;CL;Increase in salinity;Sal;South;2;1;2;Pelagic;Eastern;Eastern (South)
963;18;Employment rate male;Communities and livelihoods;CL;Increase in salinity;Sal;South;4;2;2;Pelagic;Eastern;Eastern (South)
964;19;Contribution of fish products to food security;Communities and livelihoods;CL;Increase in salinity;Sal;South;4;2;2;Pelagic;Eastern;Eastern (South)
965;20;Safety of (coastal) communities;Communities and livelihoods;CL;Increase in salinity;Sal;South;4;2;2;Pelagic;Eastern;Eastern (South)
966;21;Cultural and heritage;Communities and livelihoods;CL;Increase in salinity;Sal;South;4;2;2;Pelagic;Eastern;Eastern (South)
967;22;Market opportunities (non-native species);Communities and livelihoods;CL;Increase in salinity;Sal;South;9;3;3;Pelagic;Eastern;Eastern (South)
968;23;Health issues;Wider society and economy implications;WS;Increase in salinity;Sal;South;2;1;2;Pelagic;Eastern;Eastern (South)
969;24;Food security;Wider society and economy implications;WS;Increase in salinity;Sal;South;4;2;2;Pelagic;Eastern;Eastern (South)
970;25;Recreational fisheries;Wider society and economy implications;WS;Increase in salinity;Sal;South;6;2;3;Pelagic;Eastern;Eastern (South)
971;26;National income;Wider society and economy implications;WS;Increase in salinity;Sal;South;3;1;2;Pelagic;Eastern;Eastern (South)
972;27;Tourism activities;Wider society and economy implications;WS;Increase in salinity;Sal;South;4;2;2;Pelagic;Eastern;Eastern (South)
973;1;Catches composition;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;4;2;2;Pelagic;Eastern;Eastern (North)
974;2;Species geographic distribution;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;4;2;2;Pelagic;Eastern;Eastern (North)
975;3;Species bathymetric distribution;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Eastern;Eastern (North)
976;4;Trends in abundance/biomass;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;4;2;2;Pelagic;Eastern;Eastern (North)
977;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Increase in frequency of heat waves;HW;North;6;2;3;Pelagic;Eastern;Eastern (North)
978;6;Species phenology;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;6;2;3;Pelagic;Eastern;Eastern (North)
979;7;Trophic structure;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Eastern;Eastern (North)
980;8;Life history traits (growth, reproduction);Fisheries resources;FR;Increase in frequency of heat waves;HW;North;2;1;2;Pelagic;Eastern;Eastern (North)
981;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Eastern;Eastern (North)
982;10;Presence of non-native species;Fisheries resources;FR;Increase in frequency of heat waves;HW;North;6;2;3;Pelagic;Eastern;Eastern (North)
983;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Increase in frequency of heat waves;HW;North;12;3;4;Pelagic;Eastern;Eastern (North)
984;12;Cost of post-harvesting (preservation);Fishing operations;FO;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Eastern;Eastern (North)
985;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Eastern;Eastern (North)
986;14;Efficiency of gears;Fishing operations;FO;Increase in frequency of heat waves;HW;North;2;2;1;Pelagic;Eastern;Eastern (North)
987;15;Fishing trips/days at sea;Fishing operations;FO;Increase in frequency of heat waves;HW;North;9;3;3;Pelagic;Eastern;Eastern (North)
988;16;Landing value;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;6;2;3;Pelagic;Eastern;Eastern (North)
989;17;Employment rate female;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;2;1;2;Pelagic;Eastern;Eastern (North)
990;18;Employment rate male;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;4;2;2;Pelagic;Eastern;Eastern (North)
991;19;Contribution of fish products to food security;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Eastern;Eastern (North)
992;20;Safety of (coastal) communities;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Eastern;Eastern (North)
993;21;Cultural and heritage;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;6;2;3;Pelagic;Eastern;Eastern (North)
994;22;Market opportunities (non-native species);Communities and livelihoods;CL;Increase in frequency of heat waves;HW;North;8;2;4;Pelagic;Eastern;Eastern (North)
995;23;Health issues;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;North;6;2;3;Pelagic;Eastern;Eastern (North)
996;24;Food security;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Eastern;Eastern (North)
997;25;Recreational fisheries;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Eastern;Eastern (North)
998;26;National income;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Eastern;Eastern (North)
999;27;Tourism activities;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;North;1;1;1;Pelagic;Eastern;Eastern (North)
1000;1;Catches composition;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;6;2;3;Pelagic;Eastern;Eastern (South)
1001;2;Species geographic distribution;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;9;3;3;Pelagic;Eastern;Eastern (South)
1002;3;Species bathymetric distribution;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;6;3;2;Pelagic;Eastern;Eastern (South)
1003;4;Trends in abundance/biomass;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;6;3;2;Pelagic;Eastern;Eastern (South)
1004;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Increase in frequency of heat waves;HW;South;9;3;3;Pelagic;Eastern;Eastern (South)
1005;6;Species phenology;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;6;3;2;Pelagic;Eastern;Eastern (South)
1006;7;Trophic structure;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;6;3;2;Pelagic;Eastern;Eastern (South)
1007;8;Life history traits (growth, reproduction);Fisheries resources;FR;Increase in frequency of heat waves;HW;South;6;3;2;Pelagic;Eastern;Eastern (South)
1008;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Increase in frequency of heat waves;HW;South;4;2;2;Pelagic;Eastern;Eastern (South)
1009;10;Presence of non-native species;Fisheries resources;FR;Increase in frequency of heat waves;HW;South;6;3;2;Pelagic;Eastern;Eastern (South)
1010;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Increase in frequency of heat waves;HW;South;9;3;3;Pelagic;Eastern;Eastern (South)
1011;12;Cost of post-harvesting (preservation);Fishing operations;FO;Increase in frequency of heat waves;HW;South;9;3;3;Pelagic;Eastern;Eastern (South)
1012;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Increase in frequency of heat waves;HW;South;4;2;2;Pelagic;Eastern;Eastern (South)
1013;14;Efficiency of gears;Fishing operations;FO;Increase in frequency of heat waves;HW;South;6;3;2;Pelagic;Eastern;Eastern (South)
1014;15;Fishing trips/days at sea;Fishing operations;FO;Increase in frequency of heat waves;HW;South;9;3;3;Pelagic;Eastern;Eastern (South)
1015;16;Landing value;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;9;3;3;Pelagic;Eastern;Eastern (South)
1016;17;Employment rate female;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;2;1;2;Pelagic;Eastern;Eastern (South)
1017;18;Employment rate male;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;4;2;2;Pelagic;Eastern;Eastern (South)
1018;19;Contribution of fish products to food security;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;4;2;2;Pelagic;Eastern;Eastern (South)
1019;20;Safety of (coastal) communities;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;4;2;2;Pelagic;Eastern;Eastern (South)
1020;21;Cultural and heritage;Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;4;2;2;Pelagic;Eastern;Eastern (South)
1021;22;Market opportunities (non-native species);Communities and livelihoods;CL;Increase in frequency of heat waves;HW;South;8;2;4;Pelagic;Eastern;Eastern (South)
1022;23;Health issues;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;South;2;1;2;Pelagic;Eastern;Eastern (South)
1023;24;Food security;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;South;8;4;2;Pelagic;Eastern;Eastern (South)
1024;25;Recreational fisheries;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;South;9;3;3;Pelagic;Eastern;Eastern (South)
1025;26;National income;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;South;6;3;2;Pelagic;Eastern;Eastern (South)
1026;27;Tourism activities;Wider society and economy implications;WS;Increase in frequency of heat waves;HW;South;9;3;3;Pelagic;Eastern;Eastern (South)
1027;1;Catches composition;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;16;4;4;Pelagic;Eastern;Eastern (North)
1028;2;Species geographic distribution;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;16;4;4;Pelagic;Eastern;Eastern (North)
1029;3;Species bathymetric distribution;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Eastern;Eastern (North)
1030;4;Trends in abundance/biomass;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;16;4;4;Pelagic;Eastern;Eastern (North)
1031;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Change in precipitation-runoff;PRE;North;16;4;4;Pelagic;Eastern;Eastern (North)
1032;6;Species phenology;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;6;2;3;Pelagic;Eastern;Eastern (North)
1033;7;Trophic structure;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;12;3;4;Pelagic;Eastern;Eastern (North)
1034;8;Life history traits (growth, reproduction);Fisheries resources;FR;Change in precipitation-runoff;PRE;North;12;3;4;Pelagic;Eastern;Eastern (North)
1035;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Change in precipitation-runoff;PRE;North;9;3;3;Pelagic;Eastern;Eastern (North)
1036;10;Presence of non-native species;Fisheries resources;FR;Change in precipitation-runoff;PRE;North;12;3;4;Pelagic;Eastern;Eastern (North)
1037;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Eastern;Eastern (North)
1038;12;Cost of post-harvesting (preservation);Fishing operations;FO;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Eastern;Eastern (North)
1039;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Eastern;Eastern (North)
1040;14;Efficiency of gears;Fishing operations;FO;Change in precipitation-runoff;PRE;North;6;3;2;Pelagic;Eastern;Eastern (North)
1041;15;Fishing trips/days at sea;Fishing operations;FO;Change in precipitation-runoff;PRE;North;6;3;2;Pelagic;Eastern;Eastern (North)
1042;16;Landing value;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;16;4;4;Pelagic;Eastern;Eastern (North)
1043;17;Employment rate female;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;4;2;2;Pelagic;Eastern;Eastern (North)
1044;18;Employment rate male;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;9;3;3;Pelagic;Eastern;Eastern (North)
1045;19;Contribution of fish products to food security;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;4;2;2;Pelagic;Eastern;Eastern (North)
1046;20;Safety of (coastal) communities;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Eastern;Eastern (North)
1047;21;Cultural and heritage;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;9;3;3;Pelagic;Eastern;Eastern (North)
1048;22;Market opportunities (non-native species);Communities and livelihoods;CL;Change in precipitation-runoff;PRE;North;4;2;2;Pelagic;Eastern;Eastern (North)
1049;23;Health issues;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Eastern;Eastern (North)
1050;24;Food security;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Eastern;Eastern (North)
1051;25;Recreational fisheries;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Eastern;Eastern (North)
1052;26;National income;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Eastern;Eastern (North)
1053;27;Tourism activities;Wider society and economy implications;WS;Change in precipitation-runoff;PRE;North;1;1;1;Pelagic;Eastern;Eastern (North)
1054;1;Catches composition;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;12;4;3;Pelagic;Eastern;Eastern (South)
1055;2;Species geographic distribution;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;12;4;3;Pelagic;Eastern;Eastern (South)
1056;3;Species bathymetric distribution;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;9;3;3;Pelagic;Eastern;Eastern (South)
1057;4;Trends in abundance/biomass;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;16;4;4;Pelagic;Eastern;Eastern (South)
1058;5;Abundance variability/changes year-class strength (including larval survival);Fisheries resources;FR;Change in precipitation-runoff;PRE;South;16;4;4;Pelagic;Eastern;Eastern (South)
1059;6;Species phenology;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;4;2;2;Pelagic;Eastern;Eastern (South)
1060;7;Trophic structure;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;12;3;4;Pelagic;Eastern;Eastern (South)
1061;8;Life history traits (growth, reproduction);Fisheries resources;FR;Change in precipitation-runoff;PRE;South;12;3;4;Pelagic;Eastern;Eastern (South)
1062;9;Migration patterns of targets species (timing and routes);Fisheries resources;FR;Change in precipitation-runoff;PRE;South;9;3;3;Pelagic;Eastern;Eastern (South)
1063;10;Presence of non-native species;Fisheries resources;FR;Change in precipitation-runoff;PRE;South;12;3;4;Pelagic;Eastern;Eastern (South)
1064;11;Fishers working conditions/number of accidents at sea;Fishing operations;FO;Change in precipitation-runoff;PRE;South;2;1;2;Pelagic;Eastern;Eastern (South)
1065;12;Cost of post-harvesting (preservation);Fishing operations;FO;Change in precipitation-runoff;PRE;South;6;2;3;Pelagic;Eastern;Eastern (South)
1066;13;Integrity of fishing assets (gears, vessels);Fishing operations;FO;Change in precipitation-runoff;PRE;South;4;2;2;Pelagic;Eastern;Eastern (South)
1067;14;Efficiency of gears;Fishing operations;FO;Change in precipitation-runoff;PRE;South;6;3;2;Pelagic;Eastern;Eastern (South)
1068;15;Fishing trips/days at sea;Fishing operations;FO;Change in precipitation-runoff;PRE;South;6;3;2;Pelagic;Eastern;Eastern (South)
1069;16;Landing value;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;South;16;4;4;Pelagic;Eastern;Eastern (South)
1070;17;Employment rate female;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;South;4;2;2;Pelagic;Eastern;Eastern (South)
1071;18;Employment rate male;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;South;9;3;3;Pelagic;Eastern;Eastern (South)
1072;19;Contribution of fish products to food security;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;South;6;3;2;Pelagic;Eastern;Eastern (South)
1073;20;Safety of (coastal) communities;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;South;6;2;3;Pelagic;Eastern;Eastern (South)
1074;21;Cultural and heritage;Communities and livelihoods;CL;Change in precipitation-runoff;PRE;South;6;2;3;Pelagic;Eastern;Eastern (South)
